 INFO  Accepting connections at http://localhost:3000
 HTTP  04/01/2026 12:15:51 ::1 GET /?id=11fd2223-d39a-4809-9c46-9011b4cc58cb&vscodeBrowserReqId=1767509151408
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 32 ms
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/36bf2db9701b3ec3.css
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 5 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.ca98baf7.png
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/e4f32f5575cfb020.js
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 4 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 7 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 4 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 7 ms
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/turbopack-b27eb6c10daccf90.js
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/fdd8ae154bc15173.js
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 12 ms
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/f67bd5024dc59cad.js
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 4 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 4 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 5 ms
 HTTP  04/01/2026 12:15:51 ::1 GET /_next/static/chunks/39c41cf66bd152aa.js
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 8 ms
 HTTP  04/01/2026 12:15:51 ::1 Returned 200 in 43 ms
 HTTP  04/01/2026 12:16:42 ::1 GET /_next/static/chunks/36bf2db9701b3ec3.css
 HTTP  04/01/2026 12:16:42 ::1 Returned 304 in 1 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/36bf2db9701b3ec3.css
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 4 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.ca98baf7.png
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/e4f32f5575cfb020.js
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/turbopack-b27eb6c10daccf90.js
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/fdd8ae154bc15173.js
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/f67bd5024dc59cad.js
 HTTP  04/01/2026 12:17:30 ::1 GET /_next/static/chunks/39c41cf66bd152aa.js
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 0 ms
 HTTP  04/01/2026 12:17:30 ::1 GET /favicon.ico?favicon.0b3bf435.ico
 HTTP  04/01/2026 12:17:30 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 21:44:55 ::1 GET /
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 21 ms
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/chunks/834fb8b0dc462ee6.css
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.ca98baf7.png
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 13 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 12 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 5 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 10 ms
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/chunks/e4f32f5575cfb020.js
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/chunks/turbopack-b27eb6c10daccf90.js
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 5 ms
 HTTP  04/01/2026 21:44:55 ::1 GET /_next/static/chunks/fdd8ae154bc15173.js
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 17 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 32 ms
 HTTP  04/01/2026 21:44:56 ::1 GET /_next/static/chunks/f67bd5024dc59cad.js
 HTTP  04/01/2026 21:44:56 ::1 GET /_next/static/chunks/de9360ff4267e885.js
 HTTP  04/01/2026 21:44:56 ::1 Returned 200 in 11 ms
 HTTP  04/01/2026 21:44:56 ::1 Returned 200 in 13 ms
 HTTP  04/01/2026 21:44:55 ::1 Returned 200 in 65 ms
 HTTP  04/01/2026 21:44:56 ::1 GET /favicon.ico?favicon.0b3bf435.ico
 HTTP  04/01/2026 21:44:56 ::1 Returned 200 in 2 ms
 HTTP  04/01/2026 21:46:44 ::1 GET /
 HTTP  04/01/2026 21:46:44 ::1 Returned 200 in 3 ms
 HTTP  04/01/2026 21:46:44 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  04/01/2026 21:46:44 ::1 Returned 304 in 1 ms
 HTTP  04/01/2026 21:46:44 ::1 GET /_next/static/chunks/834fb8b0dc462ee6.css
 HTTP  04/01/2026 21:46:44 ::1 Returned 200 in 1 ms
 HTTP  04/01/2026 21:46:44 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  04/01/2026 21:46:44 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  04/01/2026 21:46:44 ::1 Returned 304 in 2 ms
 HTTP  04/01/2026 21:46:44 ::1 Returned 304 in 2 ms
 HTTP  04/01/2026 21:46:44 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  04/01/2026 21:46:44 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.ca98baf7.png
 HTTP  04/01/2026 21:46:44 ::1 Returned 304 in 2 ms
 HTTP  04/01/2026 21:46:44 ::1 Returned 304 in 1 ms
